file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_PC0012_0079_493312_to_496256,ཨེ་ནས་ཐའེ་ཝན་བོད་སོག་ལས་ཁུངས་ལ་ཡ། ཨེ་ནས་འབྲེལ་བ་བྱེད་ཀི་མིན་ཟེར་ཡ་གི་ ,e nas tha'e wan bod sog las khungs la ya/_e nas 'brel ba byed ki min zer ya gi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0012_0079_493312_to_496256.wav,STT_PC,3,70,2.944,wav16k/STT_PC0012_0079_493312_to_496256.wav,ཨེ་ནས་ཐེ་ཝན་བོད་སོག་ལས་ཁུངས་ལ་ཡ་ཨེ་ནས་འབྲེལ་བ་བྱེད་ཀི་མིན་ཟེར་ཡ་གི་
STT_PC0035_0112_618428_to_621916,གོ་ལའི་དུས་བབ་ཚགས་པར་བརྒྱུད་བྱས་ཡོང་གི་ཡོད་རེད་ཟེ། དེ་ཡང་གོ་ལའི་དུས་བབ་ཚགས་པར་བརྒྱུད་པ་དེ།  ,go la'i dus bab tshags par brgyud byas yong gi yod red ze/_de yang go la'i dus bab tshags par brgyud pa de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0035_0112_618428_to_621916.wav,STT_PC,3,92,3.488,wav16k/STT_PC0035_0112_618428_to_621916.wav,གོ་ལའི་དུས་བབ་ཚགས་པར་བརྒྱུད་བྱས་ཡོང་གི་ཡོད་རེད་ཟེ། དེ་ཡང་གོ་ལའི་དུས་བབ་ཚགས་པར་བརྒྱུད་པ་དེ།
STT_TT00320_686.050-687.750,དེ་ཚད་ཀི་ཅིག ན་ཚ་མར་ཆུང་དུ་འགྲོ་མཁན་ཅིག་ཡོད་རེད།  ,de tshad ki cig_na tsha mar chung du 'gro mkhan cig yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00320_686.050-687.750.wav,STT_TT,3,50,1.7000000000000457,wav16k/STT_TT00320_686.050-687.750.wav,དེ་ཚད་ཀི་ཅིག་ན་ཚ་མར་ཆུང་རུ་འགྲོ་མྱི་ཅིག་ིག་ཡོད་རེད།
STT_PC0037_0121_678601_to_680873,ད་ང་ཚོས་སྐད་ཆ་ག་རེ་བཤད་པ་ཡིན་ན་ལས་ཁོ་ཚོས་འདི་ ,da nga tshos skad cha ga re bshad pa yin na las kho tshos 'di _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0037_0121_678601_to_680873.wav,STT_PC,3,46,2.272,wav16k/STT_PC0037_0121_678601_to_680873.wav,ད་ང་ཚོས་སྐད་ཆ་ག་རེ་བཤད་པ་ཡིན་ན་ལས་ཁོ་ཚོས་འདི་
STT_PC0042_0080_523420_to_527200,འདི་རྩ་ཁྲིམས་འདི། བཟོས་བྱས་བྱས། ཨེ་ནས། གཞི་ནས་བྱས་བྱས་ཨ་མི་རི་ཀ་གིས་ ,'di rtsa khrims 'di/_bzos byas byas/_e nas/_gzhi nas byas byas a mi ri ka gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0042_0080_523420_to_527200.wav,STT_PC,3,69,3.78,wav16k/STT_PC0042_0080_523420_to_527200.wav,འདི་རྩ་ཁྲིམས་འདི་བཟོས་བྱས་བྱས། ཨེ་ནས་གཞི་ནས་བྱས་བྱས་ཨ་མི་རི་ཀ་གིས་
STT_CS-X-2014-P-D-B07-4-T-01_0002_7807_to_15503,ངའི་ཇོ་ཇོ་ཡོད་རེད། ང་གདོན་འདྲེ། ངའི་ཡང་བསྐྱར་ཇོ་ཇོ་གཅིག་ཡོད་རེད། ཇོ་ཇོ་གཉིས་ཡོད་རེད་ད་རཱ། ཇོ་ཇོ་མིང་ལ་ཇོ་ཇོ་བློ་བཟང་། ཇོ་ཇོ།  ,nga'i jo jo yod red/_nga gdon 'dre/_nga'i yang bskyar jo jo gcig yod red/_jo jo gnyis yod red da rA/_jo jo ming la jo jo blo bzang /_jo jo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2014-P-D-B07-4-T-01_0002_7807_to_15503.wav,STT_CS,3,126,7.696,wav16k/STT_CS-X-2014-P-D-B07-4-T-01_0002_7807_to_15503.wav,ངའི་ཇོ་ཇོ་ཡོ་རེད། ང་ལ་གདོན་འདྲེལ། ངའི་ཡང་བསྐྱར་ཇོ་ཇོ་གཅིག་ཡོད་རེད། ཇོ་ཇོ་གཉིས་ཡོད་རེད་ད་རཱ། ཇོ་ཇོའ་མིང་ལ་ཇོ་ཇོ་བློ་བཟང་། ཇོ་ཇོ།
STT_CS-D-2011-M-D-B06-6-R-01_0172_1093133_to_1095503,ཐེངས་མ་དང་པོ་སྀཔའེ་ཌྀར་ལག་པ་འཆང་ཡིན་རཱ། ཨོ་དེ་ཡིས།  ,thengs ma dang po s-ipa'e D-ir lag pa 'chang yin rA/_o de yis/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B06-6-R-01_0172_1093133_to_1095503.wav,STT_CS,3,52,2.37,wav16k/STT_CS-D-2011-M-D-B06-6-R-01_0172_1093133_to_1095503.wav,ཐེངས་མ་དང་པོ་སྀཔའི་ཌྀར་ལག་པ་འཆང་ཡིན་རཱ། ཨོ་དེས།
STT_CS-D-2011-P-D-B03-6-R-03_0085_1328523_to_1331134,སྒྲིག་གཞི་ནང་ལོགས་ལ། པུ་གུ་ད་ཆིག་སྟོང་ལས་ད་མང་བ་ཡོད་རེད་རཱ།  ,sgrig gzhi nang logs la/_pu gu da chig stong las da mang ba yod red rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-P-D-B03-6-R-03_0085_1328523_to_1331134.wav,STT_CS,3,61,2.611,wav16k/STT_CS-D-2011-P-D-B03-6-R-03_0085_1328523_to_1331134.wav,བརྗོད་གཞིའི་ནང་ལོགས་ལ་ བུ་གུ་དང་ཆིག་སྟོང་ནས་ད་མང་ང་ཡོད་རེད་རཱ།
STT_CS-L-2012_2012-M_M-D_D-B05_B05-4_4-R_R-01_0067_409042_to_415039,ང་སྐྱེས་ཡོད་མ་རེད་ད། ངའི་ཨ་མ་ཡིས་ལབ་སོང་ད་རཱ། ལའེ་ཋྀར་རེལ་ལའེ་རཱ་སྔོན་མ་ཆུང་ཆུང་སྐབས་སུ་རཱ། ཡ་ཡུད་རྫིག་པོ་ཡོད་རེད།  ,nga skyes yod ma red da/_nga'i a ma yis lab song da rA/_la'e Th-ir rel la'e rA sngon ma chung chung skabs su rA/_ya yud rdzig po yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2012_2012-M_M-D_D-B05_B05-4_4-R_R-01_0067_409042_to_415039.wav,STT_CS,3,116,5.997,wav16k/STT_CS-L-2012_2012-M_M-D_D-B05_B05-4_4-R_R-01_0067_409042_to_415039.wav,ང་སྐྱེས་ཡོད་མ་རེད་ད། ངའི་ཨ་མ་ཡིས་ལབ་སོང་ད་རཱ། ལི་ཋི་ལི་རཱ། སྔོན་མ་ཆུང་ཆུང་སྐབས་སུ་རཱ། ཡ་ཡུད་རྫིག་པོ་ཡོད་རེད།
STT_PC0029_0245_1498588_to_1500764,ད་ང་རང་ཚོ་མང་ཚོགས་ཀི་ཐོག་ནས་ཨོ་དེ་འདྲས་གནས་ཚུལ་ ,da nga rang tsho mang tshogs ki thog nas o de 'dras gnas tshul _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0029_0245_1498588_to_1500764.wav,STT_PC,3,48,2.176,wav16k/STT_PC0029_0245_1498588_to_1500764.wav,ད་ང་རང་ཚོས་མང་ཚོགས་ཀི་ཐོག་ནས་ཨོ་དེ་འདྲའི་གནས་ཚུལ་ཅིག
